,Map,M1_ME,M2_ME,M3_ME,M1_MAE,M2_MAE,M3_MAE,M1_MSE,M2_MSE,M3_MSE
0,Zeelim_12.04.21_1118_1,3.1503926591472413,0.7948670937057466,-2.3555255654415115,3.9232484011837876,1.4028594611323466,2.432600900289187,24.4418135501765,3.0739061763682565,7.9905931691605865
1,Zeelim_12.04.21_1118_2,3.456301716931037,0.958075481799882,-2.4982262351311406,4.139734467012075,1.5346734942450977,2.593227562184554,26.675921715749347,3.6511417522835203,8.97436744535496
2,Zeelim_12.04.21_1118_3,2.0605227145249225,0.15563141115652884,-1.9048913033684216,3.3237828310369673,1.3740029024325675,2.1543102141746377,19.000315920021002,3.1426986972454967,6.747088438755572
3,Zeelim_12.04.21_1118_4,3.5496658868813156,0.47021869888833495,-3.079447187992979,4.493063295418312,1.457752195425599,3.1214490173120626,28.943566058574394,3.4747122822823906,12.736601641136023
4,Zeelim_12.04.21_1118_5,2.684493436330969,0.8641324572286831,-1.8203609791022843,3.7308052973907753,1.508768060726854,1.970460326524523,22.27241447578493,3.3470529045841375,5.914042095186279
5,Zeelim_23.9.19_0610_1,0.8175231625916715,0.6037028336595398,-0.21382032893212988,1.5306754069399788,0.9243910562270332,0.683715602384749,3.3269083418875076,1.2526560532767494,0.9339180749728351
6,Zeelim_23.9.19_0610_2,0.1886064671863978,0.4346658532504559,0.24605938606406683,1.5824254211934823,1.0068075345654612,0.9398984145154602,3.9571394188404043,1.6393494338338077,1.5109602513220868
7,Zeelim_23.9.19_0610_3,-0.06877441958287708,-0.2691682766879743,-0.20039385710508023,0.9479055281759139,0.8064310806091203,0.7894675648749032,2.042539914989238,1.1184828588165256,1.0861889956068036
8,Zeelim_23.9.19_0610_4,-0.6705325756059201,0.1544205093489143,0.8249530849548462,2.2341388163145584,1.0748874210190809,1.298150670057816,7.420247766768987,1.8760813044652886,2.532783203134228
9,Zeelim_23.9.19_0610_5,-1.8628640021908371,-0.09920987865998196,1.7636541235308785,2.7692318516272243,0.9001569215898924,1.7904125556260801,9.583099990626929,1.252708041844687,4.353341309268431
10,Zeelim_23.9.19_0700_1,0.7098459574369831,2.4165793126833064,1.7067333552463255,1.2927221408156664,2.6437554791156193,2.0725357597934417,3.195036203071231,9.313693030529011,6.3867762019504655
11,Zeelim_23.9.19_0700_2,3.50107612402008,2.4876726334046286,-1.0134034906154468,3.5772445881066144,2.736175021437976,1.3305903779196013,14.967742224310237,9.076370149394643,3.9148416531959
12,Zeelim_23.9.19_0700_3,1.9627202392533045,2.232244781107849,0.26952454185453373,2.263565014504156,2.5474323333327438,1.38653296026823,8.1057539117887,8.325503899772945,3.4152306156516126
13,Zeelim_23.9.19_0700_4,2.8303165384832245,1.8581139975145025,-0.9722025409686993,3.0068548409700124,2.3540275114724025,1.3672652180407718,11.208439042479363,6.737740691153308,4.230330844059982
14,Zeelim_23.9.19_0700_5,3.2618488748458963,2.263485901138628,-0.9983629737072668,3.34185176262598,2.5265017476266722,1.3466093105614882,13.198020273590446,7.932904515191074,3.8062647178073408
15,Zeelim_23.9.19_0800_1,1.6114672427047518,0.5363815567564039,-1.075085685948344,2.229635189813314,1.0123669194157645,1.4827987501217643,7.444230853405876,2.0004143854613408,2.868518443163938
16,Zeelim_23.9.19_0800_2,0.15062599451037192,-0.6179413516058373,-0.7685673461162295,2.405747407980738,1.4075230473793403,1.471480346883386,9.144332308864037,3.1514302517776915,3.360274503269388
17,Zeelim_23.9.19_0800_3,0.8823778381087344,0.0692670301685687,-0.8131108079401407,1.9995003299563072,1.193825846804814,1.4271268020961023,6.292054051884132,2.1939267104325264,2.850277974953219
18,Zeelim_23.9.19_0800_4,1.2111716487956923,0.3591757919963359,-0.8519958567993625,2.3852703498924255,1.2148816673119538,1.4957239466876757,8.02663612325324,2.5512295995359664,3.1481192899830504
19,Zeelim_23.9.19_0800_5,1.3444959567225692,0.047432478337150676,-1.2970634783854453,2.610148701458825,1.3357056882337834,1.8416673410099311,9.813451200677834,3.0463278719767675,4.726451698936914
20,Zeelim_23.9.19_1410_1,-0.13812487066558968,-1.8902541563793687,-1.752129285713776,2.3757685756350853,1.9202791626645481,1.793289651173011,9.541523404086941,5.357469333693297,4.854365591839684
21,Zeelim_23.9.19_1410_2,-3.1273041146007374,-3.0005550337315285,0.1267490808692189,3.5537471420996383,3.02876430763886,1.6189937831836099,22.6631042305284,13.190436352293032,4.203171171342614
22,Zeelim_23.9.19_1410_3,-3.4515636136243946,-3.352225553103229,0.09933806052115894,3.728830917835887,3.361030984364633,1.5181410652205116,20.758643422571993,14.766300160128914,3.5387520515187765
23,Zeelim_23.9.19_1410_4,-1.4430808245550728,-2.2683596200720295,-0.8252787955169627,2.112193762435959,2.2826322894833244,1.0508259355968768,7.421471926139618,6.650599179465639,2.186228903822242
24,Zeelim_23.9.19_1410_5,-2.1780540710213523,-2.479465886555423,-0.3014118155340874,3.4643966157093784,2.777585062313772,1.6218301933434922,16.603518767232735,10.429525894275464,4.372623894226948
25,Zeelim_23.9.19_1510_1,-1.4706895357388021,-2.5400013388595646,-1.0693118031207507,2.411194505906825,2.5804204270517603,1.368995383371755,8.813990843725417,9.173088925752191,3.8649098566371602
26,Zeelim_23.9.19_1510_2,-1.4097725354630741,-1.6381001731770333,-0.22832763771398532,1.9698894721738385,1.689729167664461,1.1118796788104173,8.102842265224755,5.2864129566022,2.6551742893836208
27,Zeelim_23.9.19_1510_3,-1.334202657412565,-1.0964133229989839,0.23778933441357739,2.439347561772778,1.8178294005764923,1.5580674421777136,9.609942555772243,5.5161029130047945,4.370524505715974
28,Zeelim_23.9.19_1510_4,-2.82739727192219,-2.90946616338224,-0.08206889146007365,3.264037174446664,2.9263100021199135,1.408167261947193,15.287153574462115,11.643816151873265,3.1855580989525754
29,Zeelim_23.9.19_1510_5,-0.5627440706518971,-2.2854289589082013,-1.7226848882563135,2.013025184094751,2.294401969948488,1.7553477274953435,5.8497628519408975,6.956906227959509,4.701363925969948
30,Zeelim_23.9.19_1610_1,-0.8539081200063162,-2.3155770545700567,-1.4616689345637164,1.536037791518415,2.4133077499460818,1.8721272628066732,4.816025617887049,9.34102631347109,6.115605292088385
31,Zeelim_23.9.19_1610_2,0.38389160665506356,-1.2085495733986276,-1.5924411800537122,2.4576248730650563,2.0714678640244757,2.230946334661671,9.452822151827197,6.614229810673398,7.689506651242254
32,Zeelim_23.9.19_1610_3,-0.2825329826974579,-1.8673280182950964,-1.5847950355976637,1.3916156866894538,2.029075399165626,1.8674464388451164,4.301477417623953,6.819687578538477,5.844348955483589
33,Zeelim_23.9.19_1610_4,-0.13877404473574773,-1.3008144751572674,-1.1620404304215408,1.2365829374252837,1.56783448912843,1.5030935310712241,3.4345496469171253,5.23003293680119,4.888252599956792
34,Zeelim_23.9.19_1610_5,-0.764268852362274,-1.6255161170338823,-0.8612472646716327,1.7473366452617136,1.949466451878461,1.7450334540218269,5.822044299286882,6.4805164782669475,4.579960682434407
35,Zeelim_31.05.21_1516_1,2.1685815534695587,-0.6037068373574613,-2.7722883908270113,2.864112232125089,1.2730369601545874,2.7849065262373967,12.901791131171114,2.4016198753997027,9.722740851841774
36,Zeelim_31.05.21_1516_2,2.7385409967100887,-0.8463413472316144,-3.5848823439416857,3.2229257735680656,1.2817429397264897,3.5865940551749245,14.541993940550038,2.6047037482033533,14.739791492074358
37,Zeelim_31.05.21_1516_3,0.04345888897971696,-2.734929296035486,-2.7783881850152143,2.495374681597661,2.7458061093825274,2.7880128471214087,9.066656613541078,10.422537182385026,10.662139834704012
38,Zeelim_31.05.21_1516_4,1.6602477562926699,-1.1122091289787823,-2.7724568852714593,2.485875762111864,1.2928366948583798,2.7761643741121387,9.846671668694999,2.6157425654280537,9.065250599533432
39,Zeelim_31.05.21_1516_5,1.8100609610857497,-1.0252478601763344,-2.8353088212620867,2.7397689291557685,1.4612005736186608,2.851416476161723,11.34579767035693,3.229383088729284,10.217226025859743
40,Zeelim_31.05.21_1712_1,2.446199979429402,1.2090875196150035,-1.2371124598144188,2.966572535682155,1.7340571980835933,1.5100712408187111,9.968894185381231,4.436201606834236,4.504756214973561
41,Zeelim_31.05.21_1712_2,3.3881824791740582,2.292141084176328,-1.09604139499775,3.5515809282440465,2.4095501511526556,1.272466093018262,14.162578766992798,6.825243363520477,2.7726393533000615
42,Zeelim_31.05.21_1712_3,2.923641318516915,1.5451753237978323,-1.3784659947190676,3.1808564076778962,1.7722026073093087,1.5344365982161075,10.948776705730152,4.36258017825851,3.875181895581601
43,Zeelim_31.05.21_1712_4,2.657590509939039,1.440395640806941,-1.2171948691321006,3.147994204200555,1.8603389082086261,1.4845059415198771,11.160997152775508,4.878657457036034,4.285481204421909
44,Zeelim_31.05.21_1712_5,3.4120382608759563,2.0739693661986336,-1.338068894677299,3.6322323356193573,2.240103923651225,1.4654469738776104,13.995354739402208,6.263643043344324,3.7527224783168953
45,Zeelim_31.05.21_1805_1,-1.6696198104461497,-1.1467171054740202,0.5229027049721159,3.479293663979809,2.046956813293766,2.1270880556905714,19.603586214227313,6.643003250798702,5.601470369679142
46,Zeelim_31.05.21_1805_2,-0.7555366887951367,-0.6642576242984756,0.09127906449665654,3.179960239505763,1.7917520546063843,1.864535490218448,16.179657870069327,5.31574576504401,4.8828394412207405
47,Zeelim_31.05.21_1805_3,-1.9918765923860071,-1.237610431237534,0.7542661611484723,4.099562148338773,2.3658117178329756,2.270789987390492,22.979274194938277,7.757888694407195,6.795126556752895
48,Zeelim_31.05.21_1805_4,-1.801936256807494,-1.3822635064195874,0.4196727503879064,3.3850025207991266,1.9325423383996088,1.9190416490904036,19.221302388279675,6.22330576082512,4.488778577063897
49,Zeelim_31.05.21_1805_5,-0.18202791717571573,-0.41269244279846806,-0.2306645256227373,3.565423171584504,2.0675722099194727,2.0668779033555755,19.00585424121126,7.026228920686548,6.909119991724343
